Fisik,Tim,SeniVisual,Musik,Memasak,BelaDiri,Logika,Bahasa,Sains,Desain,Teknologi,Mekanik,talent
4,4,4,2,3,2,4,1,3,2,5,4,Assemble
4,3,5,2,5,1,2,3,2,3,2,3,Cooking
4,4,2,2,1,4,3,2,2,2,1,2,Futsal
5,5,2,1,1,1,2,3,3,2,1,2,Basket
4,3,3,4,5,2,3,1,2,2,1,2,Cooking
5,3,2,2,1,5,3,3,3,1,3,2,Tapak Suci
3,4,2,2,1,2,3,1,3,1,4,4,Assemble
3,3,2,1,2,1,2,4,2,2,1,2,English
3,3,2,2,2,2,4,3,3,3,3,4,Drone
2,2,5,2,1,2,3,1,4,5,3,1,Art & Science
1,4,3,5,2,1,3,2,3,3,1,3,Band
3,4,1,2,2,3,3,2,4,2,3,5,Assemble
4,5,1,2,1,2,3,2,2,1,2,1,Basket
2,4,5,2,2,3,1,2,1,5,2,1,DKV
1,3,2,1,2,2,4,2,1,1,5,3,Coding
5,4,2,3,1,3,2,2,1,1,1,2,Futsal
1,4,4,1,2,2,4,4,1,5,3,2,DKV
3,4,5,3,4,2,2,3,4,5,2,2,Art & Science
3,4,2,1,1,3,5,2,3,1,4,3,Coding
3,4,1,2,1,2,3,4,3,2,4,5,Assemble
3,3,5,1,1,2,1,1,2,5,3,1,DKV
3,3,5,2,2,2,2,1,1,5,4,2,DKV
1,4,5,2,2,4,5,2,4,5,1,2,Art & Science
4,5,1,3,1,2,2,3,2,1,2,3,Basket
5,5,2,3,2,2,4,1,2,2,4,4,Assemble
4,4,2,2,4,1,2,2,3,2,4,5,Assemble
5,5,2,3,3,1,1,2,1,3,2,3,Basket
5,5,3,1,1,4,2,3,3,2,2,1,Futsal
3,4,2,2,1,2,4,2,3,2,3,5,Assemble
1,3,2,2,2,2,4,2,5,5,4,2,Art & Science
4,3,2,2,2,2,3,2,2,1,4,4,Drone
3,3,5,5,2,2,1,1,2,3,2,2,Dance
3,3,4,5,2,2,2,3,1,3,1,3,Dance
2,3,3,4,1,2,2,2,2,1,4,5,Assemble
5,4,4,3,3,2,2,3,2,4,2,4,Dance
1,5,1,1,2,1,2,5,1,3,1,3,English
3,5,2,1,3,2,4,3,3,3,5,4,Assemble
2,3,1,2,2,2,3,5,3,2,2,1,English
5,5,3,2,1,3,3,1,3,2,2,2,Futsal
1,3,4,5,3,2,3,2,1,2,3,2,Band
2,2,4,2,3,3,1,3,2,5,3,2,DKV
1,4,2,1,1,2,2,5,4,1,2,3,English
5,4,4,1,1,4,2,1,1,1,1,3,Tapak Suci
3,4,5,1,2,1,2,2,1,5,3,3,DKV
5,2,3,2,3,5,2,1,1,3,1,2,Tapak Suci
3,4,3,4,2,2,1,3,1,3,1,2,Band
2,2,3,5,2,2,3,2,2,3,3,3,Band
5,5,2,3,3,4,2,4,3,2,2,2,Futsal
5,4,4,2,3,2,3,2,2,1,2,2,Assemble
5,5,2,2,2,3,4,3,2,3,4,3,Basket
2,3,4,2,2,3,1,3,5,5,4,2,Art & Science
4,4,3,2,2,2,5,2,4,2,3,2,Math
4,3,3,3,2,5,2,2,1,2,3,2,Tapak Suci
3,4,1,2,1,3,3,3,4,3,5,5,Assemble
1,3,3,2,2,3,2,4,2,2,3,1,English
3,3,1,1,1,2,4,3,1,2,5,4,Coding
3,4,5,2,3,2,3,1,4,5,3,1,Art & Science
5,2,5,4,2,2,3,3,2,2,2,2,Dance
1,2,4,2,2,2,3,3,5,4,4,2,Art & Science
1,2,3,5,2,2,3,1,2,1,3,1,Band
4,3,3,1,2,5,2,3,2,3,2,2,Tapak Suci
2,3,2,1,2,3,1,5,2,1,3,1,English
1,4,5,3,2,1,2,1,2,5,2,2,DKV
5,4,3,3,2,3,2,2,2,1,2,3,Futsal
5,3,5,3,2,3,2,1,2,4,3,2,Dance
5,2,3,2,1,5,3,1,3,1,2,4,Tapak Suci
2,4,3,1,1,1,3,1,5,5,2,1,Art & Science
4,2,4,2,1,4,3,3,2,5,4,2,DKV
4,4,1,1,1,3,2,3,1,2,3,1,Futsal
5,5,2,3,2,3,1,3,2,2,2,1,Futsal
4,2,5,5,2,2,3,1,1,5,2,2,Dance
2,4,5,2,2,3,3,3,3,5,4,2,DKV
5,5,3,1,3,4,2,1,3,3,2,1,Futsal
3,2,2,3,2,2,5,2,3,3,4,3,Drone
3,4,5,2,2,2,3,2,4,4,2,2,Art & Science
2,3,2,2,2,2,5,2,2,1,2,3,Math
2,4,2,2,2,3,3,5,1,2,3,2,English
1,3,4,1,2,2,2,2,1,5,3,2,DKV
5,5,3,2,2,2,3,2,3,2,2,2,Basket
3,4,1,2,2,3,3,2,4,2,4,5,Assemble
2,3,1,2,1,3,5,2,2,2,4,1,Math
2,2,2,2,2,2,2,5,2,3,1,1,English
4,5,2,2,2,3,2,2,1,2,3,1,Basket
4,4,2,3,5,2,2,2,2,4,2,3,Cooking
1,3,1,4,3,2,5,2,2,1,4,3,Math
3,3,5,2,1,3,3,1,2,5,3,2,DKV
3,4,4,2,1,2,5,2,5,4,3,2,Art & Science
2,2,2,1,3,1,5,2,4,2,2,3,Math
5,4,2,3,1,2,2,3,2,2,1,2,Basket
5,4,2,4,2,1,1,3,3,1,2,1,Basket
1,3,3,3,1,1,5,2,4,2,5,5,Drone
2,3,2,2,1,1,5,1,4,3,4,3,Drone
5,5,3,2,1,1,1,2,2,3,2,4,Basket
5,4,3,3,3,1,1,4,1,3,2,3,Basket
1,3,3,5,2,3,2,2,1,1,3,2,Band
4,3,2,2,3,3,4,2,4,1,4,5,Drone
5,5,2,2,2,3,2,1,2,1,2,2,Basket
2,4,3,5,1,2,3,1,3,1,2,3,Band
2,3,4,1,5,2,3,3,1,4,1,3,Cooking
5,4,5,4,3,1,2,2,3,4,1,1,Dance
4,4,3,3,2,4,3,2,3,2,4,5,Assemble
5,5,3,1,2,3,3,3,1,2,2,2,Futsal
4,3,5,4,1,2,3,1,2,4,1,2,Dance
3,2,2,1,3,3,4,3,5,2,4,5,Drone
2,3,3,1,2,3,3,2,4,5,5,1,Art & Science
4,5,2,1,2,3,2,2,2,1,2,1,Futsal
5,4,2,3,2,4,1,1,2,2,1,1,Futsal
3,2,1,3,2,2,4,3,4,1,4,4,Drone
1,3,5,2,1,1,3,2,2,3,4,2,DKV
5,3,5,4,2,1,1,2,2,3,3,2,Dance
2,3,4,2,2,3,2,3,5,5,3,3,Art & Science
3,4,2,1,5,1,2,1,2,2,2,3,Cooking
2,2,3,2,1,1,5,3,2,2,5,3,Coding
2,3,2,1,1,1,3,2,2,2,5,3,Coding
5,4,3,2,1,5,2,3,2,2,2,1,Tapak Suci
2,2,5,3,2,3,3,3,2,5,2,2,DKV
4,3,3,4,2,2,2,2,1,3,3,2,Dance
5,3,4,2,2,5,3,2,2,2,4,3,Tapak Suci
3,2,5,4,1,3,4,1,1,2,2,1,Dance
3,2,4,1,2,1,4,1,5,5,3,1,Art & Science
1,3,2,1,2,1,4,2,4,1,5,1,Coding
1,2,2,2,2,2,2,5,2,1,4,1,English
3,3,3,3,3,4,4,3,4,1,4,4,Drone
4,3,3,3,3,3,2,2,1,3,1,2,Cooking
2,3,4,2,5,3,2,1,2,3,1,3,Cooking
5,4,2,2,1,5,2,1,1,2,3,1,Tapak Suci
3,3,1,2,4,2,5,2,2,3,2,1,Math
4,3,5,4,2,3,2,3,1,4,1,2,Dance
1,3,2,3,3,1,3,2,4,2,4,4,Drone
2,2,1,2,2,2,4,1,3,2,4,2,Coding
3,3,2,1,3,2,3,1,3,2,4,3,Coding
3,2,2,2,3,2,4,2,4,4,5,2,Drone
5,3,3,2,2,5,3,1,2,2,2,2,Tapak Suci
1,3,4,2,1,3,2,1,4,5,2,1,Art & Science
1,5,2,4,1,2,2,1,1,1,2,3,Band
4,3,3,3,4,3,4,4,2,2,4,3,Coding
1,4,4,2,2,1,2,3,5,4,3,1,Art & Science
1,2,1,1,1,1,5,3,3,2,2,3,Math
2,3,1,2,4,2,4,5,2,2,3,2,English
3,4,5,1,3,2,3,1,2,5,3,1,DKV
5,4,2,3,3,3,2,2,2,1,1,2,Basket
5,5,3,3,2,2,2,3,3,2,4,2,Basket
1,2,4,3,2,2,1,1,2,5,1,3,DKV
3,3,2,2,2,1,3,2,4,3,5,5,Drone
5,4,3,3,2,2,4,2,4,3,5,5,Assemble
3,3,2,3,3,2,1,4,1,2,3,2,English
3,2,4,1,3,2,3,2,4,5,4,3,Art & Science
2,1,5,2,1,1,2,2,2,5,2,2,Dance
2,3,3,2,3,1,3,5,1,1,2,1,English
5,3,4,3,5,1,3,1,3,1,2,2,Cooking
3,2,2,1,1,3,5,2,1,3,4,3,Coding
5,5,2,1,1,1,1,1,1,2,3,1,Basket
5,5,1,2,2,5,1,2,1,1,3,2,Futsal
4,3,5,4,2,1,3,3,1,5,2,3,Dance
3,3,2,1,1,2,3,2,3,1,5,4,Coding
3,5,1,3,2,3,3,1,2,2,5,5,Assemble
1,4,3,5,2,2,1,2,4,1,3,1,Band
2,2,2,2,2,3,5,1,2,3,2,5,Drone
4,4,2,1,2,2,5,2,3,1,2,3,Drone
4,3,2,1,5,1,2,1,2,3,2,2,Cooking
2,4,2,3,3,2,2,5,1,2,2,2,English
4,5,1,3,2,3,3,2,2,3,3,1,Futsal
2,4,2,1,2,1,5,3,4,1,3,2,Drone
2,5,5,3,3,2,3,2,2,5,3,2,DKV
2,4,1,2,3,2,3,3,3,3,3,4,Assemble
5,4,3,2,2,3,2,3,2,2,3,2,Futsal
5,5,3,3,2,3,2,1,2,3,2,1,Futsal
2,3,1,2,3,2,3,2,3,2,4,2,Coding
1,3,1,1,2,2,2,5,1,2,1,2,English
2,4,1,2,2,2,4,1,3,1,5,3,Coding
2,3,3,1,5,1,3,1,3,2,1,3,Cooking
4,3,2,1,3,1,1,2,3,3,1,2,Basket
3,4,5,4,2,3,2,1,2,5,2,2,Dance
3,4,5,5,1,1,1,3,2,4,2,3,Dance
5,3,5,3,2,2,3,3,2,4,3,3,Dance
5,4,1,2,2,5,3,2,2,1,2,2,Tapak Suci
3,4,4,4,1,2,2,2,3,3,2,2,Dance
2,5,3,4,3,2,3,3,3,2,4,5,Drone
2,2,4,1,2,3,3,2,5,5,3,1,Art & Science
2,4,5,1,1,2,2,2,5,5,3,3,Art & Science
1,3,5,2,3,2,3,2,4,5,2,1,Art & Science
2,2,2,1,1,1,4,1,5,3,4,4,Drone
1,4,5,3,2,2,2,3,3,5,3,1,DKV
5,5,1,2,3,4,1,2,2,2,2,2,Futsal
5,4,1,1,3,3,2,2,3,1,2,3,Futsal
4,4,4,2,2,5,2,2,1,1,2,2,Tapak Suci
3,4,2,2,2,2,4,3,4,3,3,3,Drone
4,4,5,1,2,3,4,3,3,4,3,2,DKV
2,2,3,1,2,2,5,3,3,1,3,2,Math
4,2,3,2,2,5,2,2,2,1,2,2,Tapak Suci
2,3,4,5,2,3,2,1,3,2,2,1,Band
3,4,4,1,5,2,2,2,1,3,2,2,Cooking
2,3,3,2,3,2,5,2,5,5,4,1,Art & Science
3,2,2,3,5,1,2,2,2,3,2,2,Cooking
5,5,3,1,4,3,3,3,3,1,3,3,Futsal
3,5,3,4,3,1,2,1,1,3,2,2,Band
5,5,2,2,1,1,1,3,1,2,1,2,Basket
2,4,1,5,3,1,2,1,2,3,2,1,Band
3,4,2,5,3,2,3,1,2,3,2,3,Band
5,4,3,2,1,2,2,2,1,1,1,1,Basket
2,3,1,2,1,1,2,5,2,2,1,1,English
2,2,2,2,2,2,5,3,3,1,2,3,Math
5,4,4,3,1,3,2,3,4,4,3,2,Dance
2,4,3,5,1,1,2,1,2,3,2,3,Band
2,4,2,2,3,1,2,5,1,2,1,3,English
5,2,4,3,2,4,2,2,2,2,1,2,Tapak Suci
2,3,1,2,2,2,5,2,5,1,4,3,Drone
2,2,2,2,4,1,5,3,3,4,2,3,Math
2,4,3,2,2,2,1,1,4,2,5,5,Assemble
1,1,3,3,2,1,5,3,3,3,4,1,Math
4,5,1,3,3,2,2,1,2,2,2,1,Basket
2,1,1,3,2,2,3,3,4,1,2,2,Math
3,3,2,1,3,3,1,3,1,1,2,2,English
4,4,5,4,3,3,1,2,2,4,1,1,Dance
3,3,3,2,2,2,3,1,5,5,5,1,Art & Science
2,5,2,4,2,3,2,3,1,2,3,1,Band
3,3,2,2,3,2,2,2,2,1,5,5,Assemble
3,3,3,2,1,2,2,5,1,2,1,2,English
4,4,3,3,4,2,1,1,1,3,1,2,Cooking
5,5,1,3,2,1,1,2,3,3,2,3,Basket
3,4,2,1,2,2,3,2,3,2,4,5,Assemble
4,3,5,4,2,2,2,3,1,3,2,4,Dance
3,3,1,2,2,2,3,4,2,4,1,3,English
5,4,3,2,3,2,1,3,2,2,2,2,Basket
1,4,4,3,2,2,4,1,5,4,4,2,Art & Science
1,2,1,3,2,1,1,3,3,3,2,1,English
2,1,5,1,5,2,1,1,3,3,3,2,Cooking
1,3,2,1,3,2,1,5,3,3,1,3,English
2,3,2,1,2,3,2,3,3,3,4,5,Assemble
3,4,2,2,3,1,3,3,3,2,4,4,Assemble
3,4,4,3,2,3,2,2,1,4,3,1,DKV
5,5,2,3,2,1,1,1,2,1,2,2,Basket
5,2,2,3,3,5,3,2,2,2,3,3,Tapak Suci
4,2,2,3,2,2,5,3,4,1,4,3,Drone
1,2,2,2,3,4,4,1,3,2,3,2,Math
4,5,1,2,1,3,2,2,1,2,1,2,Futsal
3,4,4,2,5,2,3,3,4,3,2,3,Cooking
4,2,3,3,4,3,2,3,2,2,2,2,Cooking
2,4,3,5,3,2,2,2,2,2,1,3,Band
5,3,4,2,1,4,2,1,2,2,4,2,Tapak Suci
3,3,2,2,2,3,3,2,2,1,5,3,Coding
2,3,1,3,1,1,2,5,2,2,2,5,English
4,5,2,2,2,1,2,3,3,1,1,2,Basket
3,2,3,3,4,2,1,2,3,3,1,2,Cooking
1,3,2,4,2,1,3,1,1,2,2,2,Band
2,2,2,2,1,2,5,2,3,2,5,2,Coding
2,5,2,5,4,3,2,1,3,2,2,3,Band
3,2,3,4,5,2,2,2,2,3,2,1,Cooking
3,4,2,3,4,2,2,1,1,2,2,1,Cooking
4,5,3,1,3,2,4,2,3,2,5,4,Assemble
2,3,3,2,1,1,4,5,2,2,2,1,English
1,5,4,4,2,3,2,3,1,2,2,1,Band
4,5,3,5,2,2,2,2,2,1,1,3,Band
3,2,5,4,3,2,1,1,2,3,3,3,Dance
3,3,3,4,1,3,2,2,2,3,1,1,Band
4,3,5,4,2,3,1,2,3,3,4,1,Dance
5,5,3,3,3,1,1,2,1,2,4,3,Basket
3,3,3,2,5,3,4,2,2,3,1,3,Cooking
5,5,2,1,1,1,3,2,3,1,2,2,Basket
4,4,5,5,1,2,1,2,2,4,1,1,Dance
5,5,2,3,2,5,2,3,1,3,2,2,Futsal
5,4,2,3,3,5,2,2,2,2,3,3,Futsal
3,4,4,3,5,1,2,2,3,3,3,2,Cooking
2,3,5,3,1,1,1,3,1,5,3,1,DKV
3,4,5,1,1,3,2,2,2,5,3,2,DKV
3,3,2,3,2,2,4,1,2,3,5,3,Coding
5,3,3,2,3,5,3,3,3,4,2,1,Tapak Suci
1,4,4,2,2,3,3,1,5,5,4,1,Art & Science
2,3,5,2,2,2,3,2,1,5,2,2,DKV
5,4,4,5,3,2,2,1,2,4,2,2,Dance
5,3,3,2,2,5,3,2,2,3,2,2,Tapak Suci
5,5,3,3,3,2,2,2,3,2,2,3,Basket
3,3,3,1,2,4,3,2,5,2,4,5,Assemble
2,3,4,1,5,3,3,1,1,3,2,3,Cooking
4,2,3,2,2,5,1,1,3,3,1,2,Tapak Suci
3,2,2,2,5,3,2,3,2,5,2,2,Cooking
4,5,3,2,3,3,2,2,2,2,3,3,Futsal
1,2,2,1,1,1,5,3,4,1,5,3,Coding
4,3,2,2,2,4,2,2,2,1,3,2,Tapak Suci
5,5,2,2,3,1,1,3,2,3,3,2,Futsal
3,3,3,2,2,3,5,3,3,2,4,1,Math
2,2,2,1,5,3,2,1,2,4,1,2,Cooking
3,2,2,3,2,3,1,5,2,2,2,2,English
2,1,3,1,2,2,5,2,3,5,2,3,Math
2,1,4,3,3,2,2,1,2,5,2,2,DKV
3,3,2,2,3,4,4,2,4,3,5,2,Coding
1,4,4,2,2,3,2,4,2,5,3,1,DKV
5,3,5,3,2,3,1,1,2,4,2,2,Dance
3,5,2,1,2,2,3,2,2,3,4,5,Assemble
2,1,2,1,2,2,4,2,2,2,5,5,Drone
2,2,2,1,2,3,5,1,4,1,5,4,Coding
5,5,1,2,1,3,3,2,3,2,1,2,Futsal
5,3,3,2,1,5,3,1,2,3,3,1,Tapak Suci
3,5,2,1,3,3,4,2,2,1,3,5,Assemble
4,5,1,1,2,2,2,2,1,1,3,2,Basket
4,3,5,4,2,2,1,1,2,5,1,2,Dance
3,3,3,3,2,1,2,4,2,3,2,1,English
2,2,4,2,3,4,2,2,3,4,4,1,Art & Science
5,3,2,1,2,5,2,3,1,3,3,1,Tapak Suci
2,4,2,4,3,2,2,2,4,1,3,3,Band
2,3,1,2,3,1,4,3,4,2,5,2,Coding
2,2,2,3,2,2,5,3,3,4,5,2,Math
1,3,2,1,3,1,3,1,4,2,4,3,Drone
2,4,1,2,2,2,4,3,5,3,4,4,Drone
2,3,2,1,1,1,5,2,5,2,5,3,Coding
3,3,2,4,5,2,3,4,2,2,1,2,Cooking
5,4,2,3,1,1,1,2,1,3,2,2,Basket
1,3,2,4,2,2,4,2,3,1,5,3,Coding
4,2,5,3,3,2,2,3,2,4,1,1,Dance
2,2,2,3,2,1,5,1,3,2,2,2,Math
4,4,2,3,2,5,2,2,1,1,2,3,Tapak Suci
3,4,5,5,2,1,1,2,3,4,2,2,Dance
2,2,5,3,2,2,3,2,1,5,3,2,DKV
3,5,1,1,2,3,1,1,2,2,3,2,Futsal
2,4,2,5,2,2,2,1,3,2,1,3,Band
2,3,3,1,2,2,3,2,4,2,3,5,Assemble
1,3,5,1,2,2,4,3,5,4,4,2,Art & Science
2,3,1,1,1,3,3,2,4,2,3,3,Drone
3,3,3,3,5,4,2,2,2,3,2,2,Cooking
3,3,3,2,1,2,4,1,2,2,3,4,Drone
1,2,1,2,2,1,4,2,5,2,5,4,Coding
3,4,2,1,2,1,3,1,4,2,4,4,Drone
2,3,2,5,2,2,2,2,2,2,1,3,Band
3,2,1,2,1,2,4,1,3,3,2,2,Math
5,3,2,2,3,1,2,2,4,2,3,5,Drone
5,2,2,1,1,3,3,2,3,2,5,4,Assemble
1,3,2,2,3,3,2,5,2,2,1,2,English
5,4,5,2,2,5,2,2,2,1,1,2,Tapak Suci
5,4,2,1,2,4,2,4,3,2,2,1,Futsal
3,3,2,1,2,4,5,2,4,1,5,3,Coding
3,4,1,1,1,2,2,4,4,2,2,5,Assemble
3,3,3,2,1,1,4,2,4,4,4,2,Art & Science
3,3,5,4,2,2,2,1,2,5,3,2,Dance
